ANY,NORMATIVA,DOGC,DATA_DOGC,MOLT HONORABLE PRESIDENT DE LA GENERALITAT,HONORABLE CONSELLER/A,SECRETARI/A GENERAL DE LA PRESIDÈNCIA,SECRETARI/A GENERAL,DIRECTOR/A GENERAL,INFORMACIONS COMPLEMENTÀRIES
2024,"Decret Llei 3/2024, de 9 d'abril, de concessió d'un suplement de crèdit i d'un crèdit extraordinari als pressupostos de la Generalitat de Catalunya per al 2023 prorrogats per al 2024 i d'altres mesures financeres i administratives",9140,11/04/2024,140256.96,124391.86,123996.28,99137.00,95023.94,Aplicació de l'increment retributiu del 2%
2024,"Llei 2/2023, de 16 de març, de pressupostos de la Generalitat de Catalunya per al 2023",8877,17/03/2023,137506.68,121952.48,121564.62,97192.88,93160.26,
2023,"Llei 2/2023, de 16 de març, de pressupostos de la Generalitat de Catalunya per al 2023",8877,17/03/2023,136177.50,120773.72,120389.42,96253.24,92259.48,
2022,"Llei 1/2021, de 29 de desembre, de pressupostos de la Generalitat per al 2022",8575,31/12/2021,132855.82,117827.70,117452.94,93905.40,90008.98,"D'acord amb l'article 30.2 de la Llei 1/2021, de 29 de desembre, de pressupostos de la Generalitat de Catalunya per al 2022, les retribucions dels alt càrrecs al 2022,experimentaran l'increment del 2% respecte a les retribucions de l'any 2021, llevat dels alts càrrecs que el 2021 percebien retribucions superiors a les d'un conseller, les retribucions dels quals no s'incrementen per al 2022."
2021,"Decret Llei 18/2021, de 27 de juliol, sobre l' increment retributiu per a l' any 2021 i la recuperació parcial de l' import de la paga extraordinària de l' any 2014 per al personal del sector públic de la Generalitat de Catalunya",8467,28/07/2021,130250.60,115517.04,117452.94,92063.88,88243.84,
2020,"Decret Llei 3/2020, de 11 de febrer, sobre l'increment retributiu per a l'any 2020 per al personal del sector públic de la Generalitat de Catalunya",8063,13/02/2020,153235.50,115517.04,117452.94,91242.40,87456.36,
2019,"Decret Llei 3/2019, de 22 de gener, sobre l'increment retributiu per a l'any 2019 i la recuperació parcial de l'import de la paga extraordinària de l'any 2013 per al personal del sector públic de la Generalitat de Catalunya",7795,24/01/2019,153235.50,115517.04,115149.62,89452.92,85741.06,
2018,"Decret Llei 5/2018, de 16 d'octubre, sobre l'increment retributiu per al 2018",7729,18/10/2018,149497.46,112698.94,112340.36,87270.60,83649.16,
2017,"Llei 4/2017, de 28 de març , de pressupostos de la Generalitat per al 2017 (DOGC núm. 7340 de 30.03.2017) respecte a l'increment de l'1% establert en la Llei 3/2017, de 27 de juny, de Pressupostos Generals de l'Estat per l'any 2017",7340,30/03/2017,146925.72,110759.94,110407.82,85769.10,82209.94,
2016,"Decret Llei 1/2016, de 19 de gener, d'aplicació de l'increment retributiu de l'1%  per al personal del sector públic de la Generalitat de Catalunya",7041,20/01/2016,145470.78,109663.00,109314.30,84919.56,81395.72,
2015,"Llei 2/2015, de l'11 de març de Pressupostos de la Generalitat de Catalunya per al 2015",6830,13/03/2015,136834.78,103176.38,108231.70,84078.50,80589.54,L'import de les retribucions del President i dels Consellers incorporen la renúncia a una de les pagues extraordinàries al 2015
