Codi,Municipi,Naixements,Defuncions,Matrimonis
250019,Abella de la Conca,1,0,0
080018,Abrera,90,97,35
250024,Àger,0,15,3
250030,Agramunt,51,59,7
080023,Aguilar de Segarra,3,5,2
170010,Agullana,4,14,2
080142,Aiguafreda,18,48,8
430017,Aiguamúrcia,5,7,2
170025,Aiguaviva,2,4,3
250387,Aitona,19,48,4
250045,"Alamús, els",3,10,3
250058,Alàs i Cerc,1,2,0
250061,"Albagés, l'",1,9,0
170031,Albanyà,4,1,0
250077,Albatàrrec,22,17,4
250083,Albesa,5,14,0
250096,"Albi, l'",5,8,1
430022,Albinyana,12,30,10
430038,"Albiol, l'",3,4,1
170046,Albons,4,10,2
430043,Alcanar,63,121,21
250100,Alcanó,2,5,0
250117,Alcarràs,103,134,10
250122,Alcoletge,37,24,7
430056,Alcover,42,45,11
439044,"Aldea, l'",30,36,4
430069,Aldover,2,10,1
430075,"Aleixar, l'",3,5,1
080039,Alella,60,145,33
430081,Alfara de Carles,3,4,1
250138,Alfarràs,23,34,3
250143,Alfés,1,1,1
430094,Alforja,13,23,7
250156,Algerri,2,6,2
250169,Alguaire,18,25,5
250175,Alins,1,5,0
430108,Alió,6,3,2
250194,Almacelles,58,75,18
250208,Almatret,1,3,0
250215,Almenar,22,37,4
430115,Almoster,6,8,3
250220,Alòs de Balaguer,1,3,0
170062,Alp,8,12,8
080044,Alpens,1,3,0
250236,Alpicat,42,42,17
250241,Alt Àneu,1,4,1
430120,Altafulla,37,41,14
170078,Amer,17,30,7
430136,"Ametlla de Mar, l'",41,93,9
080057,"Ametlla del Vallès, l'",47,95,22
439060,"Ampolla, l'",26,37,11
430141,Amposta,150,197,34
170084,Anglès,47,46,8
250273,Anglesola,9,20,1
250292,Arbeca,13,28,1
430167,"Arboç, l'",63,60,10
430154,Arbolí,0,3,0
170097,Arbúcies,44,67,15
080060,Arenys de Mar,96,249,31
080076,Arenys de Munt,60,110,27
170101,Argelaguer,1,3,1
080082,Argençola,1,3,0
430173,"Argentera, l'",0,0,0
080095,Argentona,85,110,19
170118,"Armentera, l'",10,16,2
430189,Arnes,1,6,2
250313,Arres,1,2,0
250328,Arsèguel,0,1,0
080109,Artés,52,81,16
250334,Artesa de Lleida,8,17,1
250349,Artesa de Segre,22,45,4
430192,Ascó,8,31,3
250365,Aspa,1,3,0
250371,"Avellanes i Santa Linya, les",1,8,0
080116,Avià,14,33,7
080121,Avinyó,16,34,4
170123,Avinyonet de Puigventós,11,8,2
080137,Avinyonet del Penedès,6,18,6
080155,Badalona,1743,2100,379
089045,Badia del Vallès,96,135,27
080168,Bagà,9,53,4
