Codi,Nom,Naixements,Defuncions,Matrimonis
250019,Abella de la Conca,1,0,0
080018,Abrera,79,86,62
250024,Àger,3,6,1
250030,Agramunt,51,74,21
080023,Aguilar de Segarra,3,2,1
170010,Agullana,7,6,4
080142,Aiguafreda,23,44,13
430017,Aiguamúrcia,4,7,8
170025,Aiguaviva,2,5,2
250387,Aitona,16,35,7
250045,"Alamús, els",5,8,4
250058,Alàs i Cerc,2,5,1
250061,"Albagés, l'",1,5,0
170031,Albanyà,1,2,0
250077,Albatàrrec,19,10,9
250083,Albesa,14,14,5
250096,"Albi, l'",5,11,2
430022,Albinyana,14,18,18
430038,"Albiol, l'",2,1,1
170046,Albons,7,7,4
430043,Alcanar,70,101,37
250100,Alcanó,4,3,3
250117,Alcarràs,86,96,26
250122,Alcoletge,24,28,17
430056,Alcover,42,47,25
439044,"Aldea, l'",44,58,17
430069,Aldover,3,17,0
430075,"Aleixar, l'",7,12,3
080039,Alella,70,117,48
430081,Alfara de Carles,3,8,2
250138,Alfarràs,17,33,6
250143,Alfés,0,12,0
430094,Alforja,15,14,9
250156,Algerri,6,10,3
250169,Alguaire,17,34,9
250175,Alins,3,4,2
430108,Alió,3,3,4
250194,Almacelles,54,76,23
250208,Almatret,1,4,1
250215,Almenar,21,45,13
430115,Almoster,7,14,8
250220,Alòs de Balaguer,0,2,1
170062,Alp,10,10,11
080044,Alpens,0,4,2
250236,Alpicat,57,41,30
250241,Alt Àneu,2,0,2
430120,Altafulla,41,36,27
170078,Amer,20,38,16
430136,"Ametlla de Mar, l'",33,100,22
080057,"Ametlla del Vallès, l'",71,69,53
439060,"Ampolla, l'",27,34,12
430141,Amposta,156,212,88
170084,Anglès,43,50,23
250273,Anglesola,12,20,4
250292,Arbeca,15,38,5
430167,"Arboç, l'",40,43,23
430154,Arbolí,1,0,1
170097,Arbúcies,49,68,34
080060,Arenys de Mar,99,247,54
080076,Arenys de Munt,62,78,46
170101,Argelaguer,1,7,3
080082,Argençola,2,3,1
430173,"Argentera, l'",0,2,0
080095,Argentona,73,122,62
170118,"Armentera, l'",10,7,7
430189,Arnes,3,16,1
250313,Arres,0,0,0
250328,Arsèguel,0,0,0
080109,Artés,40,63,30
250334,Artesa de Lleida,8,14,2
250349,Artesa de Segre,22,46,14
430192,Ascó,11,27,3
250365,Aspa,2,2,0
250371,"Avellanes i Santa Linya, les",2,12,6
080116,Avià,22,21,9
080121,Avinyó,14,34,9
170123,Avinyonet de Puigventós,12,5,10
080137,Avinyonet del Penedès,13,20,7
080155,Badalona,1733,1904,618
089045,Badia del Vallès,79,115,37
080168,Bagà,8,25,12
250390,Baix Pallars,4,3,1
250404,Balaguer,136,183,40
080174,Balenyà,29,37,19
080180,Balsareny,24,47,13
430206,Banyeres del Penedès,23,22,14
170157,Banyoles,153,200,78
250411,Barbens,2,15,2
430213,Barberà de la Conca,0,9,0
082520,Barberà del Vallès,203,287,119
080193,Barcelona,11601,16348,4906
250426,"Baronia de Rialb, la",2,4,0
170160,Bàscara,2,15,9
250447,Bassella,1,3,2
430228,Batea,10,43,2
250450,Bausen,1,1,1
080207,Begues,54,46,38
170139,Begur,17,37,14
250463,Belianes,1,6,2
251706,Bellaguarda,2,3,0
170182,Bellcaire d'Empordà,5,3,0
250479,Bellcaire d'Urgell,4,18,2
250485,Bell-lloc d'Urgell,15,25,8
250498,Bellmunt d'Urgell,1,0,0
430234,Bellmunt del Priorat,2,1,0
080214,Bellprat,0,0,0
250501,Bellpuig,34,50,22
430249,Bellvei,7,20,6
250518,Bellver de Cerdanya,17,27,15
250523,Bellvís,12,35,12
250539,Benavent de Segrià,17,12,14
430252,Benifallet,3,9,1
430265,Benissanet,5,15,5
080229,Berga,76,196,60
170195,Besalú,13,31,9
170209,Bescanó,26,41,12
170216,Beuda,0,0,0
080235,Bigues i Riells del Fai,75,60,56
250557,Biosca,0,2,1
170221,"Bisbal d'Empordà, la",91,95,44
430271,"Bisbal de Falset, la",1,1,1
430287,"Bisbal del Penedès, la",37,33,20
172348,Biure,1,3,0
430290,Blancafort,2,4,1
170237,Blanes,252,379,91
170293,Boadella i les Escaules,1,2,0
170242,Bolvir,1,2,5
430304,Bonastre,6,4,1
250576,"Bòrdes, Es",0,4,2
170255,Bordils,8,13,5
250582,"Borges Blanques, les",52,89,25
430311,"Borges del Camp, les",14,23,11
170268,Borrassà,6,4,5
080240,Borredà,2,3,1
250595,Bossòst,3,5,4
430326,Bot,2,12,2
430332,Botarell,7,9,9
250560,Bovera,0,2,0
430347,Bràfim,3,8,3
170274,Breda,25,41,20
080253,"Bruc, el",14,11,13
080266,"Brull, el",0,5,1
170280,Brunyola i Sant Martí Sapresa,4,1,4
430350,Cabacés,0,4,0
250609,Cabanabona,0,3,0
170314,Cabanelles,0,0,1
170307,Cabanes,8,11,3
080272,"Cabanyes, les",4,4,5
250616,Cabó,1,1,0
430363,Cabra del Camp,17,11,3
080288,Cabrera d'Anoia,13,13,7
080291,Cabrera de Mar,37,26,28
080305,Cabrils,43,54,45
170329,Cadaqués,15,23,19
080312,Calaf,28,44,11
430379,Calafell,202,269,115
080348,Calders,8,10,6
080327,Caldes d'Estrac,24,47,17
170335,Caldes de Malavella,52,68,33
080333,Caldes de Montbui,123,165,78
080351,Calella,142,253,69
080370,Calldetenes,21,19,8
080386,Callús,15,18,11
080364,Calonge de Segarra,0,1,1
170340,Calonge i Sant Antoni,75,110,52
250621,Camarasa,3,15,4
439039,Camarles,22,38,12
430385,Cambrils,250,245,136
170353,Camós,2,12,1
170366,Campdevànol,15,60,14
170372,Campelles,0,0,0
080399,Campins,5,6,3
170388,Campllong,1,0,1
170391,Camprodon,11,41,16
250637,Canejan,1,0,0
170405,Canet d'Adri,5,8,7
080403,Canet de Mar,85,212,81
439076,"Canonja, la",30,42,18
080410,Canovelles,127,133,40
080425,Cànoves i Samalús,24,27,16
