Any,GRUP,Nivell,Sou,Complement Destinacio,Complement Especific,Total Mensual,Total anual,Import sou paga extraordinaria,Import mensual trienni,Import trienni paga extra,Secretari alt carrec
2024,A1,20,1300.88,515.77,568.57,2385.22,32396.84,802.76,50.07,30.91,
2024,A1,20,1300.88,515.77,641.35,2458,33415.76,802.76,50.07,30.91,
2024,A1,21,1300.88,555.25,653.24,2509.37,34134.94,802.76,50.07,30.91,
2024,A1,22,1300.88,598.04,689.61,2588.53,35243.18,802.76,50.07,30.91,
2024,A1,22,1300.88,598.04,856.21,2755.13,37575.58,802.76,50.07,30.91,
2024,A1,22,1300.88,598.04,970.71,2869.63,39178.58,802.76,50.07,30.91,
2024,A1,23,1300.88,640.94,1063.2,3005.02,41074.04,802.76,50.07,30.91,
2024,A1,24,1300.88,683.75,1228.54,3213.17,43988.14,802.76,50.07,30.91,
2024,A1,24,1300.88,683.75,1332.66,3317.29,45445.82,802.76,50.07,30.91,
2024,A1,24,1300.88,683.75,1871.02,3855.65,52982.86,802.76,50.07,30.91,
2024,A1,24,1300.88,683.75,2061.55,4046.18,55650.28,802.76,50.07,30.91,
2024,A1,25,1300.88,726.62,2174.81,4202.31,57836.1,802.76,50.07,30.91,
2024,A1,26,1300.88,819,2255.45,4375.33,60258.38,802.76,50.07,30.91,
2024,A1,27,1300.88,933.5,2413.71,4648.09,64077.02,802.76,50.07,30.91,
2024,A1,27,1300.88,933.5,2540.49,4774.87,65851.94,802.76,50.07,30.91,
2024,A1,27,1300.88,933.5,2682.1,4916.48,67834.48,802.76,50.07,30.91,
2024,A1,28,1300.88,976.4,2862.35,5139.63,70958.58,802.76,50.07,30.91,
2024,A1,29,1300.88,1019.23,2975.29,5295.4,73139.36,802.76,50.07,30.91,
2024,A1,30,1300.88,1136.33,3014.29,5451.5,75324.76,802.76,50.07,30.91,
2024,A1,30,1300.88,1136.33,3170.49,5607.7,77511.56,802.76,50.07,30.91,
2024,A2,16,1124.85,410.48,541.65,2076.98,28468.76,820.37,40.83,29.77,
2024,A2,17,1124.85,436.76,543.63,2105.24,28864.4,820.37,40.83,29.77,
2024,A2,18,1124.85,463.11,545.65,2133.61,29261.58,820.37,40.83,29.77,
2024,A2,19,1124.85,489.45,571.36,2185.66,29990.28,820.37,40.83,29.77,
2024,A2,20,1124.85,515.77,582.59,2223.21,30515.98,820.37,40.83,29.77,
2024,A2,20,1124.85,515.77,641.35,2281.97,31338.62,820.37,40.83,29.77,
2024,A2,21,1124.85,555.25,653.24,2333.34,32057.8,820.37,40.83,29.77,
2024,A2,22,1124.85,598.04,689.61,2412.5,33166.04,820.37,40.83,29.77,
2024,A2,22,1124.85,598.04,760.58,2483.47,34159.62,820.37,40.83,29.77,
2024,A2,23,1124.85,640.94,873.82,2639.61,36345.58,820.37,40.83,29.77,
2024,A2,24,1124.85,683.75,935.05,2743.65,37802.14,820.37,40.83,29.77,
2024,A2,24,1124.85,683.75,1059.16,2867.76,39539.68,820.37,40.83,29.77,
2024,A2,24,1124.85,683.75,1564.21,3372.81,46610.38,820.37,40.83,29.77,
2024,A2,24,1124.85,683.75,1768.1,3576.7,49464.84,820.37,40.83,29.77,
2024,A2,25,1124.85,726.62,1881.32,3732.79,51650.1,820.37,40.83,29.77,
2024,A2,26,1124.85,819,1949.5,3893.35,53897.94,820.37,40.83,29.77,
2024,A2,26,1124.85,819,2053.62,3997.47,55355.62,820.37,40.83,29.77,
2024,C1,12,844.57,305.09,507.68,1657.34,22973.54,729.96,30.91,26.68,
2024,C1,13,844.57,331.44,509.68,1685.69,23370.44,729.96,30.91,26.68,
2024,C1,14,844.57,357.81,511.71,1714.09,23768.04,729.96,30.91,26.68,
2024,C1,15,844.57,384.1,513.65,1742.32,24163.26,729.96,30.91,26.68,
