Municipi,Comarca,Codi,Altitud (m),Superficie,Poblacio
Abella de la Conca,Pallars Jussà,250019,956,78.30,166
Abrera,Baix Llobregat,080018,105,19.90,12821
Àger,Noguera,250024,642,160.60,582
Agramunt,Urgell,250030,337,79.70,5505
Aguilar de Segarra,Bages,080023,480,43.30,293
Agullana,Alt Empordà,170010,166,27.70,921
Aiguafreda,Vallès Oriental,080142,404,7.90,2572
Aiguamúrcia,Alt Camp,430017,314,73.00,983
Aiguaviva,Gironès,170025,169,13.90,771
Aitona,Segrià,250387,110,66.90,2520
"Alamús, els",Segrià,250045,212,20.50,792
Alàs i Cerc,Alt Urgell,250058,768,57.70,325
"Albagés, l'",Garrigues,250061,372,25.70,356
Albanyà,Alt Empordà,170031,239,94.40,170
Albatàrrec,Segrià,250077,147,10.50,2228
Albesa,Noguera,250083,237,37.60,1580
"Albi, l'",Garrigues,250096,526,32.50,764
Albinyana,Baix Penedès,430022,198,19.40,2664
"Albiol, l'",Baix Camp,430038,823,20.30,539
Albons,Baix Empordà,170046,25,11.10,816
Alcanar,Montsià,430043,72,47.10,9772
Alcanó,Segrià,250100,214,21.00,244
Alcarràs,Segrià,250117,137,114.30,10000
Alcoletge,Segrià,250122,213,16.70,3544
Alcover,Alt Camp,430056,243,46.00,5267
"Aldea, l'",Baix Ebre,439044,9,35.20,4487
Aldover,Baix Ebre,430069,14,20.20,879
"Aleixar, l'",Baix Camp,430075,262,26.10,947
Alella,Maresme,080039,90,9.60,10110
Alfara de Carles,Baix Ebre,430081,334,63.90,364
Alfarràs,Segrià,250138,281,11.40,2778
Alfés,Segrià,250143,236,31.90,285
Alforja,Baix Camp,430094,374,38.20,1984
Algerri,Noguera,250156,345,54.30,438
Alguaire,Segrià,250169,304,50.10,3006
Alins,Pallars Sobirà,250175,1048,183.20,283
Alió,Alt Camp,430108,263,7.30,512
Almacelles,Segrià,250194,247,49.00,6976
Almatret,Segrià,250208,462,56.80,305
Almenar,Segrià,250215,329,66.60,3360
Almoster,Baix Camp,430115,290,6.00,1309
Alòs de Balaguer,Noguera,250220,297,69.10,114
Alp,Cerdanya,170062,1158,44.30,1721
Alpens,Osona,080044,855,13.80,273
Alpicat,Segrià,250236,264,15.30,6450
Alt Àneu,Pallars Sobirà,250241,1076,217.80,449
Altafulla,Tarragonès,430120,52,7.00,5684
Amer,Selva,170078,186,40.10,2415
"Ametlla de Mar, l'",Baix Ebre,430136,19,66.90,7330
"Ametlla del Vallès, l'",Vallès Oriental,080057,281,14.20,9283
"Ampolla, l'",Baix Ebre,439060,8,35.70,3631
Amposta,Montsià,430141,8,138.30,22225
Anglès,Selva,170084,181,16.30,5839
Anglesola,Urgell,250273,335,23.50,1365
Arbeca,Garrigues,250292,332,58.30,2113
"Arboç, l'",Baix Penedès,430167,166,14.10,5692
Arbolí,Baix Camp,430154,714,20.80,131
Arbúcies,Selva,170097,291,86.20,6527
Arenys de Mar,Maresme,080060,10,6.80,16280
Arenys de Munt,Maresme,080076,121,21.30,9391
Argelaguer,Garrotxa,170101,183,12.50,428
Argençola,Anoia,080082,716,47.10,227
"Argentera, l'",Baix Camp,430173,344,10.10,132
Argentona,Maresme,080095,88,25.40,12845
"Armentera, l'",Alt Empordà,170118,7,5.60,1063
Arnes,Terra Alta,430189,506,43.00,456
Arres,Val d'Aran,250313,1224,11.60,71
Arsèguel,Alt Urgell,250328,950,10.60,79
Artés,Bages,080109,316,17.90,5981
Artesa de Lleida,Segrià,250334,202,23.90,1522
Artesa de Segre,Noguera,250349,318,175.90,3528
Ascó,Ribera d'Ebre,430192,70,73.60,1637
Aspa,Segrià,250365,256,10.20,217
"Avellanes i Santa Linya, les",Noguera,250371,567,103.00,444
Avià,Berguedà,080116,677,27.20,2249
Avinyó,Bages,080121,353,63.20,2297
Avinyonet de Puigventós,Alt Empordà,170123,70,12.30,1684
Avinyonet del Penedès,Alt Penedès,080137,280,29.10,1738
Badalona,Barcelonès,080155,6,21.20,224301
Badia del Vallès,Vallès Occidental,089045,120,0.90,13055
Bagà,Berguedà,080168,785,43.10,2147
Baix Pallars,Pallars Sobirà,250390,591,129.40,355
Balaguer,Noguera,250404,233,57.30,17544
Balenyà,Osona,080174,587,17.40,3965
Balsareny,Bages,080180,327,36.90,3306
Banyeres del Penedès,Baix Penedès,430206,173,12.20,3356
Banyoles,Pla de l'Estany,170157,172,11.10,20492
Barbens,Pla d'Urgell,250411,283,7.60,929
Barberà de la Conca,Conca de Barberà,430213,475,26.60,484
Barberà del Vallès,Vallès Occidental,082520,146,8.30,33353
Barcelona,Barcelonès,080193,9,101.40,1655956
"Baronia de Rialb, la",Noguera,250426,388,145.10,225
Bàscara,Alt Empordà,170160,66,17.50,1053
Bassella,Alt Urgell,250447,423,70.30,220
Batea,Terra Alta,430228,376,128.40,1863
Bausen,Val d'Aran,250450,931,17.70,70
Begues,Baix Llobregat,080207,399,50.40,7429
Begur,Baix Empordà,170139,200,20.70,4229
Belianes,Urgell,250463,373,15.70,510
Bellaguarda,Garrigues,251706,640,17.10,296
Bellcaire d'Empordà,Baix Empordà,170182,35,12.60,727
Bellcaire d'Urgell,Noguera,250479,267,31.40,1225
Bell-lloc d'Urgell,Pla d'Urgell,250485,196,34.90,2374
Bellmunt d'Urgell,Noguera,250498,379,5.10,177
Bellmunt del Priorat,Priorat,430234,261,8.90,285
Bellprat,Anoia,080214,653,31.00,72
Bellpuig,Urgell,250501,308,35.00,5182
Bellvei,Baix Penedès,430249,108,8.30,2361
Bellver de Cerdanya,Cerdanya,250518,1061,98.20,2251
Bellvís,Pla d'Urgell,250523,207,46.70,2251
Benavent de Segrià,Segrià,250539,234,7.40,1581
Benifallet,Baix Ebre,430252,19,62.40,736
Benissanet,Ribera d'Ebre,430265,26,23.10,1161
Berga,Berguedà,080229,704,22.60,16994
Besalú,Garrotxa,170195,151,4.90,2512
Bescanó,Gironès,170209,102,35.90,5171
Beuda,Garrotxa,170216,338,35.90,212
Bigues i Riells del Fai,Vallès Oriental,080235,307,28.60,9944
Biosca,Segarra,250557,455,66.20,185
"Bisbal d'Empordà, la",Baix Empordà,170221,39,20.60,11364
"Bisbal de Falset, la",Priorat,430271,372,14.10,206
"Bisbal del Penedès, la",Baix Penedès,430287,189,32.50,4168
Biure,Alt Empordà,172348,81,10.00,240
Blancafort,Conca de Barberà,430290,428,14.50,390
Blanes,Selva,170237,13,17.70,41517
Boadella i les Escaules,Alt Empordà,170293,82,10.80,262
Bolvir,Cerdanya,170242,1145,10.30,508
Bonastre,Baix Penedès,430304,177,25.00,744
"Bòrdes, Es",Val d'Aran,250576,852,21.40,280
Bordils,Gironès,170255,42,7.30,1794
"Borges Blanques, les",Garrigues,250582,304,61.60,6199
"Borges del Camp, les",Baix Camp,430311,238,8.20,2195
Borrassà,Alt Empordà,170268,73,9.50,795
Borredà,Berguedà,080240,854,43.50,439
Bossòst,Val d'Aran,250595,710,28.20,1138
Bot,Terra Alta,430326,286,34.90,560
Botarell,Baix Camp,430332,196,12.00,1152
Bovera,Garrigues,250560,297,31.10,261
Bràfim,Alt Camp,430347,236,6.40,687
Breda,Selva,170274,169,5.00,3892
"Bruc, el",Anoia,080253,489,47.20,2275
"Brull, el",Osona,080266,843,41.00,286
Brunyola i Sant Martí Sapresa,Selva,170280,247,36.80,398
Cabacés,Priorat,430350,358,31.30,305
Cabanabona,Noguera,250609,421,14.20,62
Cabanelles,Alt Empordà,170314,194,55.60,276
Cabanes,Alt Empordà,170307,26,15.00,938
"Cabanyes, les",Alt Penedès,080272,252,1.20,993
Cabó,Alt Urgell,250616,768,80.30,101
Cabra del Camp,Alt Camp,430363,493,27.00,1282
Cabrera d'Anoia,Anoia,080288,299,17.00,1667
Cabrera de Mar,Maresme,080291,104,9.00,4948
Cabrils,Maresme,080305,147,7.10,7803
Cadaqués,Alt Empordà,170329,23,26.40,2916
Calaf,Anoia,080312,680,9.20,3549
Calafell,Baix Penedès,430379,67,20.40,30482
Calders,Moianès,080348,552,33.10,1098
Caldes d'Estrac,Maresme,080327,33,0.90,3213
Caldes de Malavella,Selva,170335,84,57.30,8391
Caldes de Montbui,Vallès Oriental,080333,203,37.50,18102
Calella,Maresme,080351,5,8.00,19762
Calldetenes,Osona,080370,489,5.80,2596
Callús,Bages,080386,260,12.50,2100
Calonge de Segarra,Anoia,080364,688,37.20,188
Calonge i Sant Antoni,Baix Empordà,170340,22,33.60,12004
Camarasa,Noguera,250621,321,157.10,795
Camarles,Baix Ebre,439039,13,25.20,3365
Cambrils,Baix Camp,430385,24,35.20,36441
Camós,Pla de l'Estany,170353,168,15.70,718
Campdevànol,Ripollès,170366,738,32.60,3215
Campelles,Ripollès,170372,1303,18.60,165
Campins,Vallès Oriental,080399,321,7.30,592
Campllong,Gironès,170388,113,8.60,534
Camprodon,Ripollès,170391,947,103.40,2487
Canejan,Val d'Aran,250637,906,48.30,96
Canet d'Adri,Gironès,170405,217,44.40,740
Canet de Mar,Maresme,080403,15,5.60,15014
"Canonja, la",Tarragonès,439076,50,7.30,5925
Canovelles,Vallès Oriental,080410,175,6.70,17025
Cànoves i Samalús,Vallès Oriental,080425,346,29.20,3320
Cantallops,Alt Empordà,170412,200,19.60,326
Canyelles,Garraf,080431,142,14.20,5201
Capafonts,Baix Camp,430398,751,13.40,111
Capçanes,Priorat,430402,223,22.50,423
Capellades,Anoia,080446,317,2.90,5415
Capmany,Alt Empordà,170427,107,26.40,665
Capolat,Berguedà,080459,1279,34.10,88
Cardedeu,Vallès Oriental,080462,193,12.10,19047
Cardona,Bages,080478,507,66.70,4561
Carme,Anoia,080484,351,11.70,797
Caseres,Terra Alta,430419,324,42.90,242
Cassà de la Selva,Gironès,170448,137,45.20,10833
Casserres,Berguedà,080497,611,29.50,1638
"Castell d'Aro, Platja d'Aro i s'Agaró",Baix Empordà,170486,5,21.80,12533
Castell de l'Areny,Berguedà,080575,954,24.40,69
Castell de Mur,Pallars Jussà,259046,532,62.40,179
Castellar de la Ribera,Solsonès,250642,657,60.20,141
Castellar de n'Hug,Berguedà,080522,1395,47.10,171
Castellar del Riu,Berguedà,080500,920,32.70,169
Castellar del Vallès,Vallès Occidental,080517,331,44.90,25122
Castellbell i el Vilar,Bages,080538,178,28.50,4062
Castellbisbal,Vallès Occidental,080543,132,31.00,12811
Castellcir,Moianès,080556,773,34.20,775
Castelldans,Garrigues,250674,353,65.10,887
Castelldefels,Baix Llobregat,080569,3,12.90,68327
Castellet i la Gornal,Alt Penedès,080581,137,47.50,2569
Castellfollit de la Roca,Garrotxa,170464,296,0.70,938
Castellfollit de Riubregós,Anoia,080608,467,26.20,162
Castellfollit del Boix,Bages,080594,700,58.90,462
Castellgalí,Bages,080615,266,17.20,2308
Castellnou de Bages,Bages,080620,469,29.20,1415
Castellnou de Seana,Pla d'Urgell,250680,269,16.10,709
Castelló d'Empúries,Alt Empordà,170470,17,42.30,11787
Castelló de Farfanya,Noguera,250693,358,52.60,530
Castellolí,Anoia,080636,415,25.30,653
Castellserà,Urgell,250707,267,15.80,986
Castellterçol,Moianès,080641,726,31.90,2729
Castellvell del Camp,Baix Camp,430424,219,5.20,3017
Castellví de la Marca,Alt Penedès,080654,198,28.40,1671
Castellví de Rosanes,Baix Llobregat,080667,178,16.40,2085
"Catllar, el",Tarragonès,430430,59,26.40,5118
Cava,Alt Urgell,250714,1335,42.20,46
"Cellera de Ter, la",Selva,171899,166,14.60,2013
Celrà,Gironès,170499,71,19.50,5462
Centelles,Osona,080673,496,15.20,7737
Cercs,Berguedà,082687,650,47.40,1197
Cerdanyola del Vallès,Vallès Occidental,082665,82,30.60,57752
Cervelló,Baix Llobregat,080689,122,24.10,9461
Cervera,Segarra,250729,548,55.20,9468
Cervià de les Garrigues,Garrigues,250735,444,34.20,645
Cervià de Ter,Gironès,170502,45,9.90,1007
Cistella,Alt Empordà,170519,130,25.60,301
Ciutadilla,Urgell,250740,519,17.00,188
Clariana de Cardener,Solsonès,250753,500,40.80,158
"Cogul, el",Garrigues,250766,279,17.50,155
Colera,Alt Empordà,170545,10,24.40,477
Coll de Nargó,Alt Urgell,250772,573,151.40,558
Collbató,Baix Llobregat,080692,388,18.10,4823
Colldejou,Baix Camp,430458,431,14.50,161
Collsuspina,Moianès,080706,901,15.10,387
Colomers,Baix Empordà,170558,41,4.40,207
"Coma i la Pedra, la",Solsonès,251636,1004,60.60,277
Conca de Dalt,Pallars Jussà,251615,507,166.50,435
Conesa,Conca de Barberà,430461,705,29.00,120
Constantí,Tarragonès,430477,81,30.90,6849
Copons,Anoia,080713,432,18.70,342
Corbera d'Ebre,Terra Alta,430483,337,53.10,1017
Corbera de Llobregat,Baix Llobregat,080728,342,18.40,15529
Corbins,Segrià,250788,211,21.00,1481
Corçà,Baix Empordà,170577,43,16.30,1293
Cornellà de Llobregat,Baix Llobregat,080734,27,7.00,90076
Cornellà del Terri,Pla de l'Estany,170561,96,27.70,2398
Cornudella de Montsant,Priorat,430496,533,63.50,1002
Creixell,Tarragonès,430509,48,10.50,4067
Crespià,Pla de l'Estany,170583,138,11.40,242
"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,179011,110,99.80,1319
Cubelles,Garraf,080749,12,13.50,16950
Cubells,Noguera,250791,499,39.20,343
Cunit,Baix Penedès,430516,10,9.70,15246
Darnius,Alt Empordà,170600,193,34.90,541
Das,Cerdanya,170617,1219,14.60,258
Deltebre,Baix Ebre,439018,6,107.40,11834
